Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"An K.‐N., Browne A.O., Korinek S., Tanaka S., Morrey B.F.","36037088900;16149027800;6603278324;55730291400;7103409658;","Three‐dimensional kinematics of glenohumeral elevation",1991,"Journal of Orthopaedic Research","9","1",,"143","149",,155,"10.1002/jor.1100090117",2-s2.0-0026007973
"Barnett N.D., Duncan R.D.D., Johnson G.R.","7102019413;56653027200;55456252800;","The measurement of three dimensional scapulohumeral kinematics - A study of reliability",1999,"Clinical Biomechanics","14","4",,"287","290",,98,"10.1016/S0268-0033(98)00106-5",2-s2.0-0032991647
"Diss C.E.","6508018648;","The reliability of kinetic and kinematic variables used to analyse normal running gait",2001,"Gait and Posture","14","2",,"98","103",,77,"10.1016/S0966-6362(01)00125-4",2-s2.0-0034872082
"Ferber R., McClay Davis I., Williams III D.S., Laughton C.","56212171400;6602438376;24390469900;7005668857;","A comparison of within- and between-day reliability of discrete 3D lower extremity variables in runners",2002,"Journal of Orthopaedic Research","20","6",,"1139","1145",,123,"10.1016/S0736-0266(02)00077-3",2-s2.0-0036436199
"Finley M.A., Lee R.Y.","7005782358;7408203270;","Effect of sitting posture on 3-dimensional scapular kinematics measured by skin-mounted electromagnetic tracking sensors",2003,"Archives of Physical Medicine and Rehabilitation","84","4",,"563","568",,119,"10.1053/apmr.2003.50087",2-s2.0-0037387309
"Gibson M.H., Goebel G.V., Jordan T.M., Kegerreis S., Worrell T.W.","7202146104;7006610515;36846627100;6602349886;35615808400;","A reliability study of measurement techniques to determine static scapular position",1995,"Journal of Orthopaedic and Sports Physical Therapy","21","2",,"100","106",,61,"10.2519/jospt.1995.21.2.100",2-s2.0-0028894796
"Hébert L.J., Moffet H., McFadyen B.J., St-Vincent G.","7102067739;57203075239;7004877191;6507068020;","A method of measuring three-dimensional scapular attitudes using the Optotrak probing system",2000,"Clinical Biomechanics","15","1",,"1","8",,30,"10.1016/S0268-0033(99)00032-7",2-s2.0-0037650678
"Inman V.T., Saunders J.B., Abbott L.C.","","Observations on the function of the shoulder joint",1944,"J Bone Joint Surg","26",,,"1","30",,964,,2-s2.0-0002379195
[No author name available],[No author id available],[No title available],1997,"Standardization of Joint Rotation",,,,"","",,1,,2-s2.0-33646214800
"Kadaba M.P., Ramakrishnan H.K., Wootten M.E., Gainey J., Gorton G., Cochran G.V.B.","6701773713;6602540136;6602690648;7801475156;7003433890;7006136869;","Repeatability of kinematic, kinetic, and electromyographic data in normal adult gait",1989,"Journal of Orthopaedic Research","7","6",,"849","860",,1128,"10.1002/jor.1100070611",2-s2.0-0024764105
