Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Braune W., Fischer O.","","Über den Antheil, den die einzelnen Gelenke des Schultergürtels am der Beweglich keit des menschlichen Humerus Haben",1888,"Abh. math-phys. Cl. d. k. Sächs Gesellsch. d. Wiss.","14",,,"393","410",,6,,2-s2.0-84912236268
"Codman E.A.","","The shoulder: Rupture of the supraspinatus tendon and other lesions in or about the subacromial bursa",1934,"The Shoulder: Rupture of the Supraspinatus Tendon and Other Lesions in or About the Subacromial Bursa",,,,"","",,610,,2-s2.0-0003670452
"Cailliet R.","",[No title available],1991,"Shoulder Pain",,,,"","",,138,,2-s2.0-0004217767
"Flecker H.","","Roentgenographic study of movements of abduction at normal shoulder joint",1929,"Med J Aust","2",,,"122","",,2,,2-s2.0-0342878066
"FISK G.H., COLWELL G.","35455586300;35524532300;","Shoulder movements in health and disease.",1954,"Archives of physical medicine and rehabilitation","35","3",,"149","155",,1,,2-s2.0-77049161916
"Inman V.T., Saunders J.B., Abbott L.C.","","Observations on the function of the shoulder joint",1944,"J Bone Joint Surg","26",,,"1","30",,964,,2-s2.0-0002379195
"Freedman L., Munro R.R.","7202457321;7202717854;","Abduction of the arm in the scapular plane: scapular and glenohumeral movements. A roentgenographic study.",1966,"The Journal of bone and joint surgery. American volume","48","8",,"1503","1510",,226,"10.2106/00004623-196648080-00004",2-s2.0-0013989535
"Doody S.G., Freedman L., Waterland J.C.","6603198990;7202457321;6602104065;","Shoulder movements during abduction in the scapular plane.",1970,"Archives of Physical Medicine and Rehabilitation","51","10",,"595","604",,145,,2-s2.0-0014859001
"Poppen N.K., Walker P.S.","57215701283;56479853500;","Normal and abnormal motion of the shoulder",1976,"Journal of Bone and Joint Surgery - Series A","58","2",,"195","201",,670,"10.2106/00004623-197658020-00006",2-s2.0-0017235260
"Bagg S.D., Forrest W.J.","6603181553;7006878174;","A biomechanical analysis of scapular rotation during arm abduction in the scapular plane",1988,"American Journal of Physical Medicine and Rehabilitation","67","6",,"238","245",,173,,2-s2.0-0024238602
"Mohr W., Schild H.-H., Paier K.-P., Grevenstein J., Michiels I.","7201861209;57220509575;6506450195;6505801932;35594545700;","Digital Radiography as a Tool for the Kinematic Analysis of the Shoulder Joint - A Study of Radiation Dose [Die Röntgendigitalanlage als Instrument zur kinematischen Untersuchung der Schulter — Eine Untersuchung zur Strahlenbelastung]",1991,"Biomedizinische Technik","36","6",,"149","152",,2,"10.1515/bmte.1991.36.6.149",2-s2.0-0025785330
"Bonci C.M., Hensal F.J., Torg J.S.","6506498439;6507979826;7005475465;","A preliminary study on the measurement of static and dynamic motion at the glenohumeral joint",1986,"The American Journal of Sports Medicine","14","1",,"12","17",,13,"10.1177/036354658601400103",2-s2.0-0022540469
"Saha A.K.","",[No title available],1961,"Theory of Shoulder Mechanism: Descriptive and Applied",,,,"","",,74,,2-s2.0-0003792354
"Johnston T.B.","57190641242;","The movements of the shoulder‐joint a plea for the use of the 'plane of the scapula' as the plane of reference for movements occurring at the humero‐scapular joint",1937,"British Journal of Surgery","25","98",,"252","260",,104,"10.1002/bjs.1800259803",2-s2.0-84981841061
"Laumann U.","","Kinesiology of the shoulder — Electro-myographic and stereophotogrammetric studies",1984,"Surgery of the Shoulder",,,,"6","11",,4,,2-s2.0-84911284197
"Habermeyer P.","56236554500;","Isokinetic forces of the glenohumeral joint [ISOKINETISCHE KRAFTE AM GLENOHUMERALGELENK]",1989,"Hefte zur Unfallheilkunde",,"202",,"1","114",,13,,2-s2.0-0024319335
"Schütz M.","","Die Bestimmung des vertikalen Neigungswinkel der Cavitas glenoidalis und dessen Bedeutungfür die Periarthropathia humeroscapularis",1984,"Inaugural Dissertation",,,,"","",,1,,2-s2.0-84921245919
"Gagey O., Bonfait H., Gillot C., Mazas F.","55579432400;6506981994;7006762368;7003466574;","Functional and mechanical anatomy of arm elevation [Anatomie fonctionnelle et mécanique de l'élévation du bras.]",1988,"Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur","74","3",,"209","217",,10,,2-s2.0-0344398298
